Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,100n,C_0603_1608Metric,50,93,0,top
C202,100n,C_0603_1608Metric,54.494723,92.764441,354,top
C203,100n,C_0603_1608Metric,58.940202,92.060346,348,top
C204,100n,C_0603_1608Metric,63.28773,90.89543,342,top
C205,100n,C_0603_1608Metric,67.489675,89.282454,336,top
C206,100n,C_0603_1608Metric,71.499999,87.239092,330,top
C207,100n,C_0603_1608Metric,75.274765,84.78773,324,top
C208,100n,C_0603_1608Metric,78.772616,81.955227,318,top
C209,100n,C_0603_1608Metric,81.955227,78.772616,312,top
C210,100n,C_0603_1608Metric,84.78773,75.274765,306,top
C211,100n,C_0603_1608Metric,87.239092,71.5,300,top
C212,100n,C_0603_1608Metric,89.282454,67.489675,294,top
C213,100n,C_0603_1608Metric,90.89543,63.28773,288,top
C214,100n,C_0603_1608Metric,92.060346,58.940202,282,top
C215,100n,C_0603_1608Metric,92.764441,54.494723,276,top
C216,100n,C_0603_1608Metric,93,50,270,top
C217,100n,C_0603_1608Metric,92.764441,45.505277,264,top
C218,100n,C_0603_1608Metric,92.060346,41.059798,258,top
C219,100n,C_0603_1608Metric,90.89543,36.71227,252,top
C220,100n,C_0603_1608Metric,89.282454,32.510325,246,top
C221,100n,C_0603_1608Metric,87.239092,28.500001,240,top
C222,100n,C_0603_1608Metric,84.78773,24.725235,234,top
C223,100n,C_0603_1608Metric,81.955227,21.227384,228,top
C224,100n,C_0603_1608Metric,78.772616,18.044773,222,top
C225,100n,C_0603_1608Metric,75.274765,15.21227,216,top
C226,100n,C_0603_1608Metric,71.499999,12.760908,210,top
C227,100n,C_0603_1608Metric,67.489675,10.717546,204,top
C228,100n,C_0603_1608Metric,63.28773,9.10457,198,top
C229,100n,C_0603_1608Metric,58.940202,7.939654,192,top
C230,100n,C_0603_1608Metric,54.494723,7.235559,186,top
C231,100n,C_0603_1608Metric,50,7,180,top
C232,100n,C_0603_1608Metric,45.505277,7.235559,174,top
C233,100n,C_0603_1608Metric,41.059798,7.939654,168,top
C234,100n,C_0603_1608Metric,36.71227,9.10457,162,top
C235,100n,C_0603_1608Metric,32.510325,10.717546,156,top
C236,100n,C_0603_1608Metric,28.5,12.760908,150,top
C237,100n,C_0603_1608Metric,24.725235,15.21227,144,top
C238,100n,C_0603_1608Metric,21.227384,18.044773,138,top
C239,100n,C_0603_1608Metric,18.044773,21.227384,132,top
C240,100n,C_0603_1608Metric,15.21227,24.725235,126,top
C241,100n,C_0603_1608Metric,12.760908,28.5,120,top
C242,100n,C_0603_1608Metric,10.717546,32.510325,114,top
C243,100n,C_0603_1608Metric,9.10457,36.71227,108,top
C244,100n,C_0603_1608Metric,7.939654,41.059798,102,top
C245,100n,C_0603_1608Metric,7.235559,45.505277,96,top
C246,100n,C_0603_1608Metric,7,50,90,top
C247,100n,C_0603_1608Metric,7.235559,54.494723,84,top
C248,100n,C_0603_1608Metric,7.939654,58.940202,78,top
C249,100n,C_0603_1608Metric,9.10457,63.28773,72,top
C250,100n,C_0603_1608Metric,10.717546,67.489675,66,top
C251,100n,C_0603_1608Metric,12.760908,71.5,60,top
C252,100n,C_0603_1608Metric,15.21227,75.274765,54,top
C253,100n,C_0603_1608Metric,18.044773,78.772616,48,top
C254,100n,C_0603_1608Metric,21.227384,81.955227,42,top
C255,100n,C_0603_1608Metric,24.725235,84.78773,36,top
C256,100n,C_0603_1608Metric,28.5,87.239092,30,top
C257,100n,C_0603_1608Metric,32.510325,89.282454,24,top
C258,100n,C_0603_1608Metric,36.71227,90.89543,18,top
C259,100n,C_0603_1608Metric,41.059798,92.060346,12,top
C260,100n,C_0603_1608Metric,45.505277,92.764441,6,top
C301,100n,C_0603_1608Metric,50,89,0,top
C302,100n,C_0603_1608Metric,54.07661,88.786354,354,top
C303,100n,C_0603_1608Metric,58.108555,88.147757,348,top
C304,100n,C_0603_1608Metric,62.051662,87.091205,342,top
C305,100n,C_0603_1608Metric,65.862729,85.628273,336,top
C306,100n,C_0603_1608Metric,69.5,83.774991,330,top
C307,100n,C_0603_1608Metric,72.923624,81.551663,324,top
C308,100n,C_0603_1608Metric,76.096093,78.982649,318,top
C309,100n,C_0603_1608Metric,78.982648,76.096094,312,top
C310,100n,C_0603_1608Metric,81.551662,72.923625,306,top
C311,100n,C_0603_1608Metric,83.77499,69.5,300,top
C312,100n,C_0603_1608Metric,85.628272,65.86273,294,top
C313,100n,C_0603_1608Metric,87.091204,62.051663,288,top
C314,100n,C_0603_1608Metric,88.147756,58.108556,282,top
C315,100n,C_0603_1608Metric,88.786353,54.076611,276,top
C316,100n,C_0603_1608Metric,89,50,270,top
C317,100n,C_0603_1608Metric,88.786353,45.92339,264,top
C318,100n,C_0603_1608Metric,88.147756,41.891445,258,top
C319,100n,C_0603_1608Metric,87.091204,37.948338,252,top
C320,100n,C_0603_1608Metric,85.628272,34.137271,246,top
C321,100n,C_0603_1608Metric,83.77499,30.5,240,top
C322,100n,C_0603_1608Metric,81.551662,27.076376,234,top
C323,100n,C_0603_1608Metric,78.982648,23.903907,228,top
C324,100n,C_0603_1608Metric,76.096093,21.017352,222,top
C325,100n,C_0603_1608Metric,72.923624,18.448338,216,top
C326,100n,C_0603_1608Metric,69.5,16.22501,210,top
C327,100n,C_0603_1608Metric,65.862729,14.371728,204,top
C328,100n,C_0603_1608Metric,62.051662,12.908796,198,top
C329,100n,C_0603_1608Metric,58.108555,11.852244,192,top
C330,100n,C_0603_1608Metric,54.07661,11.213647,186,top
C331,100n,C_0603_1608Metric,50,11,180,top
C332,100n,C_0603_1608Metric,45.923389,11.213647,174,top
C333,100n,C_0603_1608Metric,41.891444,11.852244,168,top
C334,100n,C_0603_1608Metric,37.948337,12.908796,162,top
C335,100n,C_0603_1608Metric,34.13727,14.371728,156,top
C336,100n,C_0603_1608Metric,30.5,16.22501,150,top
C337,100n,C_0603_1608Metric,27.076375,18.448338,144,top
C338,100n,C_0603_1608Metric,23.903906,21.017352,138,top
C339,100n,C_0603_1608Metric,21.017351,23.903907,132,top
C340,100n,C_0603_1608Metric,18.448337,27.076376,126,top
C341,100n,C_0603_1608Metric,16.225009,30.5,120,top
C342,100n,C_0603_1608Metric,14.371727,34.137271,114,top
C343,100n,C_0603_1608Metric,12.908795,37.948338,108,top
C344,100n,C_0603_1608Metric,11.852243,41.891445,102,top
C345,100n,C_0603_1608Metric,11.213646,45.92339,96,top
C346,100n,C_0603_1608Metric,11,50,90,top
C347,100n,C_0603_1608Metric,11.213646,54.076611,84,top
C348,100n,C_0603_1608Metric,11.852243,58.108556,78,top
C349,100n,C_0603_1608Metric,12.908795,62.051663,72,top
C350,100n,C_0603_1608Metric,14.371727,65.86273,66,top
C351,100n,C_0603_1608Metric,16.225009,69.5,60,top
C352,100n,C_0603_1608Metric,18.448337,72.923625,54,top
C353,100n,C_0603_1608Metric,21.017351,76.096094,48,top
C354,100n,C_0603_1608Metric,23.903906,78.982649,42,top
C355,100n,C_0603_1608Metric,27.076375,81.551663,36,top
C356,100n,C_0603_1608Metric,30.499999,83.774991,30,top
C357,100n,C_0603_1608Metric,34.13727,85.628273,24,top
C358,100n,C_0603_1608Metric,37.948337,87.091205,18,top
C359,100n,C_0603_1608Metric,41.891444,88.147757,12,top
C360,100n,C_0603_1608Metric,45.923389,88.786354,6,top
C401,100n,C_0603_1608Metric,50,85,0,top
C402,100n,C_0603_1608Metric,53.658496,84.808266,354,top
C403,100n,C_0603_1608Metric,57.276909,84.235166,348,top
C404,100n,C_0603_1608Metric,60.815594,83.286978,342,top
C405,100n,C_0603_1608Metric,64.235782,81.974091,336,top
C406,100n,C_0603_1608Metric,67.499999,80.310889,330,top
C407,100n,C_0603_1608Metric,70.572483,78.315594,324,top
C408,100n,C_0603_1608Metric,73.419571,76.010068,318,top
C409,100n,C_0603_1608Metric,76.010068,73.419571,312,top
C410,100n,C_0603_1608Metric,78.315594,70.572483,306,top
C411,100n,C_0603_1608Metric,80.310889,67.5,300,top
C412,100n,C_0603_1608Metric,81.974091,64.235782,294,top
C413,100n,C_0603_1608Metric,83.286978,60.815594,288,top
C414,100n,C_0603_1608Metric,84.235166,57.276909,282,top
